English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
%s indicator has missing results,%s indicators have missing results,,%s indicador no tiene resultados,%s indicadores no tienen resultados,,,#. Translators: The number of indicators that no one has entered in any results for
%s indicator has missing evidence,%s indicators have missing evidence,,%s indicador no tiene evidencias,%s indicadores no tienen evidencias,,,#. Translators: The number of indicators that contain results that are not backed up with evidence
%s indicator is >15% above target,%s indicators are >15% above target,,%s indicador está >15% por encima del objetivo,%s indicadores están >15% por encima del objetivo,,,#. Translators: shows what number of indicators are a certain percentage above target. Example: 3 indicators are >15% above target
%s indicator is >15% below target,%s indicators are >15% below target,,%s indicador está >15% por debajo del objetivo,%s indicadores están >15% por debajo del objetivo,,,#. Translators: shows what number of indicators are a certain percentage below target. Example: 3 indicators are >15% below target
%s indicator is on track,%s indicators are on track,,%s indicador está encaminado,%s indicadores están encaminado,,,#. Translators: shows what number of indicators are within a set range of target. Example: 3 indicators are on track
%s indicator,%s indicators,,%s indicador,%s indicadores,,,#. Translators: the number of indicators in a list. Example: 3 indicators
Show all,,Ver todo,,,,,
Add indicator,,Agregar indicador,,,,,
Find an indicator:,,Encontrar un indicador:,,,,,
None,,Ninguno,,,,,
Indicator,,Indicador,,,,,
Level,,Nivel,,,,,
Unit of measure,,Unidad de medida,,,,,
Baseline,,Base,,,,,
Target,,Objetivo,,,,,
"Some indicators have missing targets. To enter these values, click the target icon near the indicator name.",,"Algunos indicadores faltan objetivos. Para ingresar estos valores, haga clic en el ícono de objetivo cerca del nombre del indicador.",,,,,
Indicators on track,,Indicadores encaminados,,,,,
%(percentNonReporting)s% unavailable,,%(percentNonReporting)s% no disponible,,,,,#. Translators: variable %s shows what percentage of indicators have no targets reporting data. Example: 31% unavailable */
"The indicator has no targets, no completed target periods, or no results reported.",,"El indicador no tiene objetivos, ni períodos objetivo completos o no se informan resultados.",,,,,#. Translators: help text for the percentage of indicators with no targets reporting data. */
"The actual value matches the target value, plus or minus 15%. So if your target is 100 and your result is 110, the indicator is 10% above target and on track.  <br><br>Please note that if your indicator has a decreasing direction of change, then “above” and “below” are switched. In that case, if your target is 100 and your result is 200, your indicator is 50% below target and not on track.<br><br><a href='https://docs.google.com/document/d/1Gl9bxJJ6hdhCXeoOCoR1mnVKZa2FlEOhaJcjexiHzY0' target='_blank'>See our documentation for more information.</a>",,"El valor real coincide con el valor objetivo, más o menos 15%. Entonces, si su objetivo es 100 y su resultado es 110, el indicador está 10% por encima del objetivo y está encaminado.   <br><br>Tenga en cuenta que si su indicador tiene una dirección de cambio decreciente, entonces se transponen “arriba” y “abajo”. En ese caso, si su objetivo es 100 y su resultado es 200, su indicador está 50% por debajo del objetivo y no está encaminado.<br><br><a href='https://docs.google.com/document/d/1Gl9bxJJ6hdhCXeoOCoR1mnVKZa2FlEOhaJcjexiHzY0' target='_blank'>Vea nuestra documentación para mayor información.</a>",,,,,"#. Translators: Help text explaining what an ""on track"" indicator is. */"
<strong>%(percentHigh)s%</strong> are >%(marginPercent)s% above target,,<strong>%(percentHigh)s%</strong> está >%(marginPercent)s% por encima del objetivo,,,,,#. Translators: variable %(percentHigh)s shows what percentage of indicators are a certain percentage above target percent %(marginPercent)s. Example: 31% are >15% above target */
<strong>%s%</strong> are on track,,<strong>%s%</strong> está encaminado,,,,,#. Translators: variable %s shows what percentage of indicators are within a set range of target. Example: 31%  are on track */
<strong>%(percentBelow)s%</strong> are >%(marginPercent)s% below target,,<strong>%(percentBelow)s%</strong> está >%(marginPercent)s% por debajo del objetivo,,,,,#. Translators: variable %(percentBelow)s shows what percentage of indicators are a certain percentage below target. The variable %(marginPercent)s is that percentage. Example: 31% are >15% below target */
Unavailable until the first target period ends with results reported.,,No disponible hasta finalizar el primer período objetivo con reporte de resultados.,,,,,#. Translators: message describing why this display does not show any data. # */}
Indicators with targets,,Indicadores con objetivos,,,,,#. Translators: title of a graphic showing indicators with targets */
have targets,,tienen objetivos,,,,,#. Translators: a label in a graphic. Example: 31% have targets */
no targets,,sin objetivos,,,,,#. Translators: a label in a graphic. Example: 31% no targets */
Indicators missing targets,,Indicadores sin objetivos,,,,,#. Translators: a link that displays a filtered list of indicators which are missing targets */
No targets,,Sin objetivos,,,,,
Indicators with results,,Indicadores con resultados,,,,,#. Translators: title of a graphic showing indicators with results */
have results,,tienen resultados,,,,,#. Translators: a label in a graphic. Example: 31% have results */
no results,,sin resultados,,,,,#. Translators: a label in a graphic. Example: 31% no results */
Indicators missing results,,Indicadores sin resultados,,,,,#. Translators: a link that displays a filtered list of indicators which are missing results */
No results,,Sin resultados,,,,,
Results with evidence,,Resultados con evidencia,,,,,#. Translators: title of a graphic showing results with evidence */
have evidence,,hay evidencia adjunta,,,,,#. Translators: a label in a graphic. Example: 31% have evidence */
no evidence,,no hay evidencia adjunta,,,,,#. Translators: a label in a graphic. Example: 31% no evidence */
Indicators missing evidence,,Indicadores sin evidencias,,,,,#. Translators: a link that displays a filtered list of indicators which are missing evidence */
No evidence,,Sin evidencia,,,,,
Warning: This action cannot be undone. Are you sure you want to delete this pinned report?,,Advertencia: esta acción no se puede deshacer. ¿Está seguro que quiere borrar este informe fijado?,,,,,
Disaggregated values changed,,Valores desagregados modificados,,,,,
Targets changed,,Objetivos modificados,,,,,
N/A,,N/A,,,,,
Expand all,,Expandir todos,,,,,#. Translators: button label to show the details of all rows in a list */}
Collapse all,,Colapsar todos,,,,,#. Translators: button label to hide the details of all rows in a list */}
Indicator change log:,,Registro de cambios de indicadores:,,,,,
Excel,,Sobresalir,,,,,
Date and time,,Fecha y hora,,,,,
No.,,No.,,,,,
User,,Usuario,,,,,
Organization,,Organización,,,,,
Change type,,Tipo de cambio,,,,,
Previous entry,,Valor anterior,,,,,
New entry,,Nuevo valor,,,,,
entries,,ítems,,,,,
Profile,,Perfil,,,,,
Strategic Objectives,,Objetivos estratégicos,,,,,
Country Disaggregations,,Desagregación del País,,,,,
Country name,,Nombre del país,,,,,
Description,,Descripción,,,,,
Country Code,,Código del País,,,,,
Save Changes,,Guardar cambios,,,,,
Reset,,Reiniciar,,,,,
Disaggregation Type,,Tipo de desagregación,,,,,
Remove,,Eliminar,,,,,
Add another option,,Agregar otra opción,,,,,
You have unsaved changes. Are you sure you want to discard them?,,Tiene cambios sin guardar. ¿Está seguro que desea descartarlos?,,,,,
Add country disaggregation,,Agregar desagregación del país,,,,,
Proposed,,Propuesto,,,,,
Active,,Activo,,,,,
Achieved,,Logrado,,,,,
Short name,,Nombre corto,,,,,
Status,,Estado,,,,,"#. Translators: Label for column identifying ""active"" or ""inactive"" user status */}"
Delete Strategic Objective?,,¿Eliminar Objetivo Estratégico?,,,,,
Add strategic objective,,Agregar objetivo estratégico,,,,,#. Translators: This is a button that allows the user to add a strategic objective. */}
Successfully Saved,,Guardado Exitosamente,,,,,#. Translators: Saving to the server succeeded
Saving Failed,,Falló Operación de Guardado,,,,,#. Translators: Saving to the server failed
Successfully Deleted,,Eliminado Exitosamente,,,,,
Countries,,Países,,,,,
None Selected,,Ninguno/a Seleccionado,,,,,#. Translators: Nothing selected by user
Organizations,,Organizaciones,,,,,
Programs,,Programas,,,,,
Apply,,Aplicar,,,,,
Admin:,,Administrador:,,,,,
Add Country,,Agregar País,,,,,
Country,,País,,,,,
Users,,Usuarios,,,,,
countries,,países,,,,,
Inactive,,Inactivo,,,,,
Status and history,,Estado e historial,,,,,
Organization name,,Nombre de la organización,,,,,
Primary Address,,Dirección Principal,,,,,
Primary Contact Name,,Nombre de Contacto Principal,,,,,
Primary Contact Email,,Dirección de Correo Electrónico de Contacto Principal,,,,,
Primary Contact Phone Number,,Número Telefónico de Contacto Principal,,,,,
Preferred Mode of Contact,,Forma de Contacto Preferida,,,,,
Save and Add Another,,Guardar y Agregar otro,,,,,
Status and History,,Estado e Historial,,,,,
Sectors,,Sectores,,,,,
Add Organization,,Agregar Organización,,,,,
programs,,programas,,,,,
users,,usuarios,,,,,
organizations,,organizaciones,,,,,
Program name,,Nombre del programa,,,,,
GAIT ID,,ID GAIT,,,,,
Fund Code,,Código del fondo,,,,,
Successfully saved,,Guardado exitosamente,,,,,
Saving failed,,Falló operación de guardado,,,,,
Successfully synced GAIT program start and end dates,,Se sincronizaron satisfactoriamente las fechas de inicio y fin del programa desde el servicio GAIT,,,,,#. Translators: Notify user that the program start and end date were successfully retrieved from the GAIT service and added to the newly saved Program
Failed to sync GAIT program start and end dates: ,,Hubo un fallo en la sincronización de las fechas de inicio y fin del programa desde el servicio GAIT: ,,,,,#. Translators: Notify user that the program start and end date failed to be retrieved from the GAIT service with a specific reason appended after the :
Retry,,Reintentar,,,,,"#. Translators: A request failed, ask the user if they want to try the request again"
Ignore,,Ignorar,,,,,#. Translators: button label - ignore the current warning modal on display
The GAIT ID for this program is shared with at least one other program.,,El ID GAIT para este programa está compartido con al menos un programa más.,,,,,
View programs with this ID in GAIT.,,Ver programas con este ID en GAIT.,,,,,
Are you sure you want to continue?,,¿Está seguro que quiere continuar?,,,,,
There was a network or server connection error.,,Hubo un error de red o conectividad con el servidor.,,,,,#. Translators: error message when trying to connect to the server
Bulk Actions,,Acciones Masivas,,,,,
Select...,,Seleccionar...,,,,,
No options,,Sin opciones,,,,,
Set program status,,Definir estado del programa,,,,,
Add Program,,Agregar Programa,,,,,
Program,,Programa,,,,,
Resend Registration Email,,Reenviar Correo Electrónico de Registración,,,,,
Preferred First Name,,Nombre Preferido,,,,,
Preferred Last Name,,Apellido Preferido,,,,,
Username,,Nombre de usuario,,,,,
Title,,Título,,,,,
Email,,Correo electrónico,,,,,
Phone,,Teléfono,,,,,
Save changes,,Guardar cambios,,,,,
Save And Add Another,,Guardar y Agregar otro,,,,,
Individual programs only,,,,,,Untranslated,
Programs and Roles,,Programas y Roles,,,,,
More information on Program Roles,,Más Información sobre los Roles en los Programas,,,,,
Filter countries,,Filtrar países,,,,,
Filter programs,,Filtrar programas,,,,,
Has access?,,,,,,Untranslated,#. Translators: Column header for a checkbox indicating if a user has access to a program */
Deselect All,,Deseleccionar todo,,,,,
Select All,,Seleccionar todo,,,,,
Countries and Programs,,Países y Programas,,,,,
Roles and Permissions,,Roles y Permisos,,,,,
Yes,,Sí,,,,,
No,,No,,,,,
Verification email sent,,Correo electrónico de verificación enviado,,,,,#. Translators: An email was sent to the user to verify that the email address is valid
Verification email send failed,,Falló el envío de correo electrónico de verificación,,,,,#. Translators: Sending an email to the user did not work
Countries Permitted,,Países Permitidos,,,,,#. Translators: The countries a user is allowed to access */}
Base Country,,País Principal,,,,,#. Translators: Primary country of the user */}
Set account status,,Establecer estado de la cuenta,,,,,#. Translators: Set an account to active or inactive
Add to program,,Agregar al programa,,,,,#. Translators: Associate a user with a program granting permission
Remove from program,,Eliminar del programa,,,,,#. Translators: Disassociate a user with a program removing permission
Administrator?,,¿Administrador?,,,,,
Add user,,Agregar Usuario,,,,,
Super Admin,,Super Administrador,,,,,#. Translators: The highest level of administrator in the system */}
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
