English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
Baseline N/A,,Base de référence,,,"#| msgid ""Baseline""",Yes,#. Translators: The baseline value doesn't apply for this indicator
Targets changed,,,,,,,#. Translators: One or more of the target values on an indicator have been#. modified
Excel,,,,,,,#. Translators: The proper name of Microsoft Excel program
Date and Time,,Date ajoutée,,,"#| msgid ""Date added""",Yes,#. Trnaslators: A date and time value label
No.,,,,,,,#. Translators: Short for number
User,,,,,,,#. Translators: The name of the user making a change
Organization,,,,,,,#. Translators: The organization a user belogs to
Rationale,,,,,,,#. Translators: A reason/explination for a change being made
entries,,,,,,,#. Translators: label to be appended to count of entries. Example: 3 entries
Profile,,,,,,,#. Translators: A profile of a user
Strategic Objectives,,,,,,,#. Translators: The overall goals of an indicator
Country Disaggregations,,,,,,,#. Translators: Tab label and header for disaggregations for all programs in#. a#. country
Country name,,,,,,,#. Translators: Label for name of the country
Description,,,,,,,#. Translators: Details about an item
Country Code,,,,,,,#. Translators: 2 character short code for a country
Save Changes,,ont des cibles,,,"#| msgid ""have targets""",Yes,#. Translators: Button label to save any changes made to the form
Reset,,,,,,,#. Translators: Revert changes made to a form instead of saving them
Disaggregation Type,,,,,,,#. Translators: A type of dissaggregation for a country
Remove,,,,,,,#. Translators: Button label to delete an item from a list
Add another option,,,,,,,#. Translators: Button label to add another option item to a list
Add country disaggregation,,,,,,,#. Translators: Button label to create a new country disaggregation
Proposed,,,,,,,#. Translators: Status type for a strategic objective
Active,,,,,,,#. Translators: Status of a program in progress
Achieved,,,,,,,#. Translators: An objective that has been met
Code,,,,,,,#. Translators: Strategic objective code. Example: MCAF SO 1:Agribusiness#. development
Objective,,,,,,,#. Translators: A a strategic goal
Status,,,,,,,#. Translators: Current state of an item
Delete Strategic Objective?,,,,,,,#. Translators: Prompt user if this strategic objective should be removed
Add strategic objective,,,,,,,#. Translators: Prompt user if a strategic objective should be added
Successfully Saved,,,,,,,#. Translators: Saving to the server succeeded
Saving Failed,,,,,,,#. Translators: Saving to the server failed
Successfully Deleted,,,,,,,#. Translators: Notify user an item has been deleted successfully
Countries,,,,,,,#. Translators: Nation states
None Selected,,,,,,,#. Translators: Nothing selected by user
Organizations,,,,,,,#. Translators: Example: Mercy Corps
Programs,,,,,,,#. Translators: noun - activity run by an organization
Apply,,,,,,,#. Translators: Button labels - save changes
Add Country,,Ajouter un document,,,"#| msgid ""Add document""",Yes,#. Translators: Button label to create a new country entry
Country,,,,,,,#. Translators: A nation state
Users,,,,,,,#. Translators: appended to users count. Example: 201 Users
countries,,,,,,,#. Translators: appended to countries count. Example 42 countries
Inactive,,,,,,,#. Translators: Entity is no longer active
Status and history,,,,,,,#. Translators: Organization status and history header label
Organization name,,,,,,,#. Translators: Name of the organization
Primary Address,,,,,,,#. Translators: Street address of the organization
Primary Contact Name,,,,,,,#. Translators: Name of contact at an organization
Primary Contact Email,,,,,,,#. Translators: Email address of contact for organization
Primary Contact Phone Number,,,,,,,#. Translators: Phone number of contact for organization
Preferred Mode of Contact,,,,,,,#. Translators: Best way to reach out to organiation contact
Save and Add Another,,,,,,,#. Translators: Button label to save new item and add another one
Status and History,,,,,,,#. Translators: Organization status and history header label
Sectors,,,,,,,#. Translators: Area of activity for an organization. Example: Basic needs.#. Conflict Management.
Add Organization,,Ajouter un indicateur,,,"#| msgid ""Add indicator""",Yes,#. Translators: button label to add another organization
programs,,,,,,,#. Translators: appended to programs count. Example 12 programs
users,,,,,,,#. Translators: appended to users count. Example: 201 Users
organizations,,,,,,,#. Translators: appended to organizations count. Example 3 organizations
Funded,,,,,,,#. Translators: Funding status option - is this program funded?
Completed,,,,,,,#. Translators: Funding status option - program is complete
Program name,,,,,,,#. Translators: Name of a program
GAIT ID,,,,,,,#. Translators: GAIT identifier label
Fund Code,,,,,,,#. Translators: A code relating to funding
Funding Status,,,,,,,#. Translators: Current status of funding for a program
Program Status,,,,,,,#. Translators: Status of a program (regarding funding)
Closed,,,,,,,#. Translators: Status of a program that has been marked closed
Bulk Actions,,,,,,,#. Translators: Button label of pulldown that shows available options to#. apply#. to many things at once
Set program status,,,,,,,#. Translators: Change the status of a program - button label
Add Program,,,,,,,"#. Translators: button label, add a new program"
Program,,,,,,,#. Translators: noun - activity run by an organization
Resend Registration Email,,,,,,,#. Translators: Send a reigration email to a user once more
Preferred First Name,,,,,,,#. Translators: The prefered first name of a user
Preferred Last Name,,,,,,,#. Translators: The prefered last name of a user
Title,,,,,,,#. Translators: User profile title - the role of a user in an organization
Email,,,,,,,#. Translators: an email address
Phone,,,,,,,#. Translators: a phone number
Save changes,,ont des cibles,,,"#| msgid ""have targets""",Yes,#. Translators: button label to save form changes
Save And Add Another,,,,,,,#. Translators: Button label to save new item and add another one
Programs and Roles,,,,,,,#. Translators: Header label of section listing a users programs and what#. that#. users role is (user/admin)
Filter countries,,,,,,,#. Translators: Limit the countries being displayed
Filter programs,,Filtrer par programme,,,"#| msgid ""Filter by program""",Yes,#. Translators: Limit the programs being displayed
Deselect All,,,,,,,#. Translators: Deselect all items in the UI
Select All,,,,,,,#. Translators: Select all items in the UI
Countries and Programs,,,,,,,"#. Translators: header for list of programs, broken down by country"
Roles and Permissions,,,,,,,#. Translators: header for controls of a users role and permissions for#. programs and countries
Verification email sent,,,,,,,#. Translators: An email was sent to the user to verify that the email#. address#. is valid
Verification email send failed,,,,,,,#. Translators: Sending an email to the user did not work
Countries Permitted,,,,,,,#. Translators: The countries a user is allowed to access */}
Base Country,,Aucun pays actif,,,"#| msgid ""No active country""",Yes,#. Translators: Primary country of the user */}
Set account status,,,,,,,#. Translators: Set an account to active or inactive
Add to program,,,,,,,#. Translators: Associate a user with a program granting permission
Remove from program,,,,,,,#. Translators: Disassociate a user with a program removing permission
Admin Role,,,,,,,#. Translators: Label for yes/no choice form input - if user is an admin or#. not */}
Add User,,,,,,,#. Translators: Add another user to the system
Super Admin,,,,,,,#. Translators: The highest level of administrator in the system */}
Yes,,,,,,,#. Translators: Label if a user is an admin
No,,Aucun,,,"#| msgid ""None""",Yes,#. Translators: Label if a user is not an admin
No active country,,Aucun pays actif,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
